,T_ACSL6,T_AKAP9,T_ALK,T_APC,T_ARHGAP5,T_ARHGEF10L,T_ARNT,T_ASXL1,T_ATM,T_ATP1A1,T_BAP1,T_BCORL1,T_BIRC6,T_CBL,T_CBLB,T_CDKN2A,T_CIC,T_CLTCL1,T_CNTNAP2,T_COL1A1,T_CREB3L2,T_CRNKL1,T_CSMD3,T_CTNNA2,T_CUL3,T_DCAF12L2,T_DCTN1,T_DDX10,T_EBF1,T_ELF3,T_ELK4,T_EML4,T_EP300,T_EPAS1,T_EPHA3,T_ERBB3,T_ERBB4,T_ERC1,T_ERCC5,T_FAT1,T_FAT4,T_FEV,T_FGFR2,T_FGFR4,T_FKBP9,T_FLNA,T_FOXP1,T_GRIN2A,T_HMGA1,T_JAK2,T_KAT6B,T_KDM5C,T_KDR,T_KIF5B,T_KMT2C,T_KMT2D,T_KRAS,T_LARP4B,T_LRP1B,T_MAML2,T_MAP3K1,T_MAP3K13,T_MDM2,T_MET,T_MLH1,T_MSH2,T_MSH6,T_MUC16,T_MYB,T_MYH11,T_MYH9,T_NBEA,T_NCOA1,T_NCOR2,T_NF2,T_NFE2L2,T_NSD1,T_NTRK3,T_NUMA1,T_NUP214,T_PAFAH1B2,T_PAX8,T_PBRM1,T_PCM1,T_PDCD1LG2,T_PDE4DIP,T_PDGFRA,T_PIK3CB,T_PLCG1,T_PML,T_PMS1,T_POLG,T_PREX2,T_PTCH1,T_PTEN,T_PTPN11,T_PTPRB,T_PTPRT,T_RAP1GDS1,T_RARA,T_RB1,T_RBM10,T_RECQL4,T_RET,T_RNF43,T_RSPO2,T_S100A7,T_SDHA,T_SETD2,T_SFPQ,T_SMAD2,T_SMARCA4,T_SMO,T_SNX29,T_SS18,T_SSX1,T_SUZ12,T_SYK,T_TBL1XR1,T_TCF12,T_TET1,T_THRAP3,T_TMPRSS2,T_TP53,T_TPR,T_TRRAP,T_TSC2,T_VHL,T_WRN,T_XPO1,T_ZFHX3,T_ZNF479,T_ZNRF3
1,-2.13,2.501,1.3030000000000002,0.326,-2.13,3.418,1.3030000000000002,-2.1069999999999998,0.374,-4.088,1.139,-2.13,-2.13,-2.13,-2.13,-2.1069999999999998,-4.088,-2.1069999999999998,1.036,1.139,0.97,-2.1069999999999998,-2.285,-2.1069999999999998,1.3030000000000002,1.139,-4.088,1.139,-2.13,-0.862,-1.084,-1.084,3.418,1.139,-2.503,-2.13,-2.1069999999999998,1.139,-0.862,3.418,-2.1069999999999998,-2.13,1.3030000000000002,3.418,-2.13,1.3030000000000002,1.3030000000000002,-2.1069999999999998,3.418,-0.862,-1.084,-2.13,3.418,1.139,1.3030000000000002,-0.862,3.418,-5.837000000000001,-2.1069999999999998,-0.569,1.006,-4.088,0.374,-4.088,-1.0659999999999998,-2.1069999999999998,-1.084,0.326,-2.1069999999999998,-5.837000000000001,-2.312,-4.088,-1.084,-1.449,-5.837000000000001,-2.13,-3.4019999999999997,3.418,0.039,0.374,-1.084,-2.1069999999999998,-1.084,-1.084,-1.084,-0.757,-2.13,1.3030000000000002,-0.862,-1.084,-2.13,-2.13,0.374,-4.088,-1.0659999999999998,-2.1069999999999998,-1.084,-2.1069999999999998,-2.13,-1.084,-4.088,-2.1069999999999998,1.199,1.858,-1.084,-0.862,1.3030000000000002,-2.1069999999999998,1.3030000000000002,-2.13,-1.084,-1.0959999999999999,-5.837000000000001,-2.1069999999999998,-1.084,-2.1069999999999998,-2.13,0.316,-2.13,1.3030000000000002,-4.088,-2.13,1.3030000000000002,0.44799999999999995,-1.084,-0.569,1.006,-0.156,-5.837000000000001,-2.1069999999999998,-1.084,1.861,3.418
2,0.27899999999999997,-0.22699999999999998,0.055999999999999994,0.045,0.27899999999999997,0.34299999999999997,0.055999999999999994,0.012,0.11,5.8420000000000005,-0.971,0.27899999999999997,0.27899999999999997,0.27899999999999997,0.27899999999999997,0.012,5.8420000000000005,0.012,0.325,-0.971,-0.5670000000000001,0.012,-0.358,0.012,0.055999999999999994,-0.971,5.8420000000000005,-0.971,0.27899999999999997,0.003,-0.038,-0.038,0.34299999999999997,-0.971,-0.016,0.27899999999999997,0.012,-0.971,0.003,0.34299999999999997,0.012,0.27899999999999997,0.055999999999999994,0.34299999999999997,0.27899999999999997,0.055999999999999994,0.055999999999999994,0.012,0.34299999999999997,0.003,-0.038,0.27899999999999997,0.34299999999999997,-0.971,0.055999999999999994,0.003,0.34299999999999997,5.735,0.012,0.051,-0.461,5.8420000000000005,0.11,5.8420000000000005,0.287,0.012,-0.038,-0.018000000000000002,0.012,5.735,0.214,5.8420000000000005,-0.038,-0.024,5.735,0.27899999999999997,0.221,0.34299999999999997,-0.745,0.11,-0.038,0.012,-0.038,-0.038,-0.038,0.11800000000000001,0.27899999999999997,0.055999999999999994,0.003,-0.038,0.27899999999999997,0.27899999999999997,0.11,5.8420000000000005,0.287,0.012,-0.038,0.012,0.27899999999999997,-0.038,5.8420000000000005,0.012,-0.415,0.253,-0.038,0.003,0.055999999999999994,0.012,0.055999999999999994,0.27899999999999997,-0.038,0.048,5.735,0.012,-0.038,0.012,0.27899999999999997,0.019,0.27899999999999997,0.055999999999999994,5.8420000000000005,0.27899999999999997,0.055999999999999994,0.306,-0.038,0.051,-0.461,-0.242,5.735,0.012,-0.038,-0.61,0.34299999999999997
3,-0.506,3.674,-2.29,-5.233,-0.506,5.327000000000001,-2.29,1.097,0.341,5.189,-0.89,-0.506,-0.506,-0.506,-0.506,1.097,5.189,1.097,4.442,-0.89,-1.413,1.097,-0.109,1.097,-2.29,-0.89,5.189,-0.89,-0.506,-3.906,1.228,1.228,5.327000000000001,-0.89,1.749,-0.506,1.097,-0.89,-3.906,5.327000000000001,1.097,-0.506,-2.29,5.327000000000001,-0.506,-2.29,-2.29,1.097,5.327000000000001,-3.906,1.228,-0.506,5.327000000000001,-0.89,-2.29,-3.906,5.327000000000001,0.6729999999999999,1.097,-0.847,-0.20199999999999999,5.189,0.341,5.189,-0.039,1.097,1.228,3.585,1.097,0.6729999999999999,-3.301,5.189,1.228,-2.074,0.6729999999999999,-0.506,0.44299999999999995,5.327000000000001,0.243,0.341,1.228,1.097,1.228,1.228,1.228,0.231,-0.506,-2.29,-3.906,1.228,-0.506,-0.506,0.341,5.189,-0.039,1.097,1.228,1.097,-0.506,1.228,5.189,1.097,-0.9640000000000001,5.332999999999999,1.228,-3.906,-2.29,1.097,-2.29,-0.506,1.228,-3.397,0.6729999999999999,1.097,1.228,1.097,-0.506,-0.9670000000000001,-0.506,-2.29,5.189,-0.506,-2.29,5.625,1.228,-0.847,-0.20199999999999999,-1.359,0.6729999999999999,1.097,1.228,-2.5069999999999997,5.327000000000001
4,0.48700000000000004,1.07,-0.591,-1.39,0.48700000000000004,1.8219999999999998,-0.591,-0.318,0.32299999999999995,-6.877000000000001,-0.315,0.48700000000000004,0.48700000000000004,0.48700000000000004,0.48700000000000004,-0.318,-6.877000000000001,-0.318,1.237,-0.315,-0.8420000000000001,-0.318,-0.066,-0.318,-0.591,-0.315,-6.877000000000001,-0.315,0.48700000000000004,-1.2229999999999999,-0.364,-0.364,1.8219999999999998,-0.315,-0.507,0.48700000000000004,-0.318,-0.315,-1.2229999999999999,1.8219999999999998,-0.318,0.48700000000000004,-0.591,1.8219999999999998,0.48700000000000004,-0.591,-0.591,-0.318,1.8219999999999998,-1.2229999999999999,-0.364,0.48700000000000004,1.8219999999999998,-0.315,-0.591,-1.2229999999999999,1.8219999999999998,3.0810000000000004,-0.318,-0.6940000000000001,0.113,-6.877000000000001,0.32299999999999995,-6.877000000000001,0.618,-0.318,-0.364,1.4909999999999999,-0.318,3.0810000000000004,-0.55,-6.877000000000001,-0.364,-1.244,3.0810000000000004,0.48700000000000004,0.127,1.8219999999999998,-0.503,0.32299999999999995,-0.364,-0.318,-0.364,-0.364,-0.364,-0.517,0.48700000000000004,-0.591,-1.2229999999999999,-0.364,0.48700000000000004,0.48700000000000004,0.32299999999999995,-6.877000000000001,0.618,-0.318,-0.364,-0.318,0.48700000000000004,-0.364,-6.877000000000001,-0.318,-0.47700000000000004,1.207,-0.364,-1.2229999999999999,-0.591,-0.318,-0.591,0.48700000000000004,-0.364,-1.4580000000000002,3.0810000000000004,-0.318,-0.364,-0.318,0.48700000000000004,-0.7290000000000001,0.48700000000000004,-0.591,-6.877000000000001,0.48700000000000004,-0.591,1.04,-0.364,-0.6940000000000001,0.113,-0.16699999999999998,3.0810000000000004,-0.318,-0.364,-0.695,1.8219999999999998
5,-1.7480000000000002,2.3,2.099,0.302,-1.7480000000000002,4.279,2.099,-2.16,0.39299999999999996,4.218,0.13,-1.7480000000000002,-1.7480000000000002,-1.7480000000000002,-1.7480000000000002,-2.16,4.218,-2.16,1.436,0.13,0.846,-2.16,-2.717,-2.16,2.099,0.13,4.218,0.13,-1.7480000000000002,-1.665,-1.177,-1.177,4.279,0.13,-2.6189999999999998,-1.7480000000000002,-2.16,0.13,-1.665,4.279,-2.16,-1.7480000000000002,2.099,4.279,-1.7480000000000002,2.099,2.099,-2.16,4.279,-1.665,-1.177,-1.7480000000000002,4.279,0.13,2.099,-1.665,4.279,7.062,-2.16,-0.040999999999999995,0.436,4.218,0.39299999999999996,4.218,-0.8079999999999999,-2.16,-1.177,0.4,-2.16,7.062,-2.687,4.218,-1.177,-2.1959999999999997,7.062,-1.7480000000000002,-3.108,4.279,-0.768,0.39299999999999996,-1.177,-2.16,-1.177,-1.177,-1.177,-0.33299999999999996,-1.7480000000000002,2.099,-1.665,-1.177,-1.7480000000000002,-1.7480000000000002,0.39299999999999996,4.218,-0.8079999999999999,-2.16,-1.177,-2.16,-1.7480000000000002,-1.177,4.218,-2.16,1.103,2.346,-1.177,-1.665,2.099,-2.16,2.099,-1.7480000000000002,-1.177,-1.151,7.062,-2.16,-1.177,-2.16,-1.7480000000000002,0.861,-1.7480000000000002,2.099,4.218,-1.7480000000000002,2.099,0.789,-1.177,-0.040999999999999995,0.436,-0.017,7.062,-2.16,-1.177,1.7790000000000001,4.279
6,0.38,0.9209999999999999,-0.7979999999999999,-2.048,0.38,2.042,-0.7979999999999999,0.8190000000000001,-0.82,-1.7009999999999998,1.673,0.38,0.38,0.38,0.38,0.8190000000000001,-1.7009999999999998,0.8190000000000001,1.128,1.673,-0.21,0.8190000000000001,1.8330000000000002,0.8190000000000001,-0.7979999999999999,1.673,-1.7009999999999998,1.673,0.38,-1.858,-1.04,-1.04,2.042,1.673,-0.037000000000000005,0.38,0.8190000000000001,1.673,-1.858,2.042,0.8190000000000001,0.38,-0.7979999999999999,2.042,0.38,-0.7979999999999999,-0.7979999999999999,0.8190000000000001,2.042,-1.858,-1.04,0.38,2.042,1.673,-0.7979999999999999,-1.858,2.042,7.502999999999999,0.8190000000000001,0.016,0.204,-1.7009999999999998,-0.82,-1.7009999999999998,-0.469,0.8190000000000001,-1.04,2.541,0.8190000000000001,7.502999999999999,-1.0959999999999999,-1.7009999999999998,-1.04,-2.259,7.502999999999999,0.38,0.915,2.042,0.447,-0.82,-1.04,0.8190000000000001,-1.04,-1.04,-1.04,-1.268,0.38,-0.7979999999999999,-1.858,-1.04,0.38,0.38,-0.82,-1.7009999999999998,-0.469,0.8190000000000001,-1.04,0.8190000000000001,0.38,-1.04,-1.7009999999999998,0.8190000000000001,-0.8909999999999999,0.91,-1.04,-1.858,-0.7979999999999999,0.8190000000000001,-0.7979999999999999,0.38,-1.04,-1.2229999999999999,7.502999999999999,0.8190000000000001,-1.04,0.8190000000000001,0.38,-1.3659999999999999,0.38,-0.7979999999999999,-1.7009999999999998,0.38,-0.7979999999999999,0.561,-1.04,0.016,0.204,-0.667,7.502999999999999,0.8190000000000001,-1.04,0.46399999999999997,2.042
7,0.505,-0.556,-1.09,-1.139,0.505,-1.055,-1.09,1.8840000000000001,0.281,-5.107,0.40700000000000003,0.505,0.505,0.505,0.505,1.8840000000000001,-5.107,1.8840000000000001,0.754,0.40700000000000003,-0.9159999999999999,1.8840000000000001,1.92,1.8840000000000001,-1.09,0.40700000000000003,-5.107,0.40700000000000003,0.505,-0.402,-0.621,-0.621,-1.055,0.40700000000000003,1.0759999999999998,0.505,1.8840000000000001,0.40700000000000003,-0.402,-1.055,1.8840000000000001,0.505,-1.09,-1.055,0.505,-1.09,-1.09,1.8840000000000001,-1.055,-0.402,-0.621,0.505,-1.055,0.40700000000000003,-1.09,-0.402,-1.055,-3.8360000000000003,1.8840000000000001,0.5720000000000001,0.495,-5.107,0.281,-5.107,0.593,1.8840000000000001,-0.621,1.415,1.8840000000000001,-3.8360000000000003,0.078,-5.107,-0.621,-0.7490000000000001,-3.8360000000000003,0.505,1.825,-1.055,-0.157,0.281,-0.621,1.8840000000000001,-0.621,-0.621,-0.621,0.395,0.505,-1.09,-0.402,-0.621,0.505,0.505,0.281,-5.107,0.593,1.8840000000000001,-0.621,1.8840000000000001,0.505,-0.621,-5.107,1.8840000000000001,-0.578,-1.286,-0.621,-0.402,-1.09,1.8840000000000001,-1.09,0.505,-0.621,0.23600000000000002,-3.8360000000000003,1.8840000000000001,-0.621,1.8840000000000001,0.505,-1.3159999999999998,0.505,-1.09,-5.107,0.505,-1.09,0.418,-0.621,0.5720000000000001,0.495,-0.259,-3.8360000000000003,1.8840000000000001,-0.621,-0.603,-1.055
8,-0.14800000000000002,0.133,-1.565,-1.328,-0.14800000000000002,-0.092,-1.565,1.704,0.079,-3.505,1.008,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,1.704,-3.505,1.704,1.101,1.008,-0.978,1.704,1.676,1.704,-1.565,1.008,-3.505,1.008,-0.14800000000000002,-0.187,-0.773,-0.773,-0.092,1.008,0.8340000000000001,-0.14800000000000002,1.704,1.008,-0.187,-0.092,1.704,-0.14800000000000002,-1.565,-0.092,-0.14800000000000002,-1.565,-1.565,1.704,-0.092,-0.187,-0.773,-0.14800000000000002,-0.092,1.008,-1.565,-0.187,-0.092,-4.715,1.704,0.099,0.6559999999999999,-3.505,0.079,-3.505,-0.03,1.704,-0.773,1.685,1.704,-4.715,-0.255,-3.505,-0.773,-0.6759999999999999,-4.715,-0.14800000000000002,1.166,-0.092,0.17,0.079,-0.773,1.704,-0.773,-0.773,-0.773,-0.267,-0.14800000000000002,-1.565,-0.187,-0.773,-0.14800000000000002,-0.14800000000000002,0.079,-3.505,-0.03,1.704,-0.773,1.704,-0.14800000000000002,-0.773,-3.505,1.704,-0.809,-0.598,-0.773,-0.187,-1.565,1.704,-1.565,-0.14800000000000002,-0.773,-0.038,-4.715,1.704,-0.773,1.704,-0.14800000000000002,-1.8159999999999998,-0.14800000000000002,-1.565,-3.505,-0.14800000000000002,-1.565,0.679,-0.773,0.099,0.6559999999999999,-0.9440000000000001,-4.715,1.704,-0.773,-0.569,-0.092
9,-1.521,-1.026,-0.015,0.8859999999999999,-1.521,0.512,-0.015,1.9609999999999999,-1.087,2.859,-0.444,-1.521,-1.521,-1.521,-1.521,1.9609999999999999,2.859,1.9609999999999999,0.65,-0.444,-0.49,1.9609999999999999,0.026000000000000002,1.9609999999999999,-0.015,-0.444,2.859,-0.444,-1.521,1.185,-0.349,-0.349,0.512,-0.444,1.3259999999999998,-1.521,1.9609999999999999,-0.444,1.185,0.512,1.9609999999999999,-1.521,-0.015,0.512,-1.521,-0.015,-0.015,1.9609999999999999,0.512,1.185,-0.349,-1.521,0.512,-0.444,-0.015,1.185,0.512,-1.237,1.9609999999999999,1.46,-1.2590000000000001,2.859,-1.087,2.859,-2.036,1.9609999999999999,-0.349,-0.604,1.9609999999999999,-1.237,-0.244,2.859,-0.349,0.718,-1.237,-1.521,0.31,0.512,-0.588,-1.087,-0.349,1.9609999999999999,-0.349,-0.349,-0.349,0.11699999999999999,-1.521,-0.015,1.185,-0.349,-1.521,-1.521,-1.087,2.859,-2.036,1.9609999999999999,-0.349,1.9609999999999999,-1.521,-0.349,2.859,1.9609999999999999,-1.381,0.17800000000000002,-0.349,1.185,-0.015,1.9609999999999999,-0.015,-1.521,-0.349,2.149,-1.237,1.9609999999999999,-0.349,1.9609999999999999,-1.521,-0.249,-1.521,-0.015,2.859,-1.521,-0.015,0.462,-0.349,1.46,-1.2590000000000001,-2.557,-1.237,1.9609999999999999,-0.349,-0.313,0.512
10,1.585,-5.109,2.728,1.237,1.585,-1.6980000000000002,2.728,3.753,-1.114,-7.263,-2.721,1.585,1.585,1.585,1.585,3.753,-7.263,3.753,0.16899999999999998,-2.721,-0.616,3.753,2.002,3.753,2.728,-2.721,-7.263,-2.721,1.585,-0.971,-1.5619999999999998,-1.5619999999999998,-1.6980000000000002,-2.721,1.7409999999999999,1.585,3.753,-2.721,-0.971,-1.6980000000000002,3.753,1.585,2.728,-1.6980000000000002,1.585,2.728,2.728,3.753,-1.6980000000000002,-0.971,-1.5619999999999998,1.585,-1.6980000000000002,-2.721,2.728,-0.971,-1.6980000000000002,7.149,3.753,5.608,-2.6460000000000004,-7.263,-1.114,-7.263,0.069,3.753,-1.5619999999999998,-0.228,3.753,7.149,0.44799999999999995,-7.263,-1.5619999999999998,-1.875,7.149,1.585,4.297,-1.6980000000000002,-3.301,-1.114,-1.5619999999999998,3.753,-1.5619999999999998,-1.5619999999999998,-1.5619999999999998,2.185,1.585,2.728,-0.971,-1.5619999999999998,1.585,1.585,-1.114,-7.263,0.069,3.753,-1.5619999999999998,3.753,1.585,-1.5619999999999998,-7.263,3.753,-1.524,-2.51,-1.5619999999999998,-0.971,2.728,3.753,2.728,1.585,-1.5619999999999998,3.752,7.149,3.753,-1.5619999999999998,3.753,1.585,1.0590000000000002,1.585,2.728,-7.263,1.585,2.728,-0.6679999999999999,-1.5619999999999998,5.608,-2.6460000000000004,-0.506,7.149,3.753,-1.5619999999999998,0.349,-1.6980000000000002
11,-1.315,-1.194,0.588,2.073,-1.315,-1.881,0.588,0.48100000000000004,-1.558,0.7340000000000001,1.8730000000000002,-1.315,-1.315,-1.315,-1.315,0.48100000000000004,0.7340000000000001,0.48100000000000004,-2.276,1.8730000000000002,1.946,0.48100000000000004,0.491,0.48100000000000004,0.588,1.8730000000000002,0.7340000000000001,1.8730000000000002,-1.315,2.119,0.602,0.602,-1.881,1.8730000000000002,0.8009999999999999,-1.315,0.48100000000000004,1.8730000000000002,2.119,-1.881,0.48100000000000004,-1.315,0.588,-1.881,-1.315,0.588,0.588,0.48100000000000004,-1.881,2.119,0.602,-1.315,-1.881,1.8730000000000002,0.588,2.119,-1.881,4.364,0.48100000000000004,0.816,-0.34,0.7340000000000001,-1.558,0.7340000000000001,-2.338,0.48100000000000004,0.602,-2.275,0.48100000000000004,4.364,0.57,0.7340000000000001,0.602,2.146,4.364,-1.315,-0.622,-1.881,1.841,-1.558,0.602,0.48100000000000004,0.602,0.602,0.602,-0.287,-1.315,0.588,2.119,0.602,-1.315,-1.315,-1.558,0.7340000000000001,-2.338,0.48100000000000004,0.602,0.48100000000000004,-1.315,0.602,0.7340000000000001,0.48100000000000004,0.391,-1.088,0.602,2.119,0.588,0.48100000000000004,0.588,-1.315,0.602,2.19,4.364,0.48100000000000004,0.602,0.48100000000000004,-1.315,0.89,-1.315,0.588,0.7340000000000001,-1.315,0.588,-1.925,0.602,0.816,-0.34,-0.47200000000000003,4.364,0.48100000000000004,0.602,1.755,-1.881
12,1.5390000000000001,-1.7619999999999998,-0.833,-1.2690000000000001,1.5390000000000001,-0.602,-0.833,2.98,-1.703,-6.524,0.021,1.5390000000000001,1.5390000000000001,1.5390000000000001,1.5390000000000001,2.98,-6.524,2.98,-0.006,0.021,-0.496,2.98,3.259,2.98,-0.833,0.021,-6.524,0.021,1.5390000000000001,-0.821,0.153,0.153,-0.602,0.021,2.48,1.5390000000000001,2.98,0.021,-0.821,-0.602,2.98,1.5390000000000001,-0.833,-0.602,1.5390000000000001,-0.833,-0.833,2.98,-0.602,-0.821,0.153,1.5390000000000001,-0.602,0.021,-0.833,-0.821,-0.602,-7.162000000000001,2.98,1.51,-1.54,-6.524,-1.703,-6.524,-0.45799999999999996,2.98,0.153,1.067,2.98,-7.162000000000001,0.528,-6.524,0.153,-0.561,-7.162000000000001,1.5390000000000001,3.6069999999999998,-0.602,0.128,-1.703,0.153,2.98,0.153,0.153,0.153,-0.07200000000000001,1.5390000000000001,-0.833,-0.821,0.153,1.5390000000000001,1.5390000000000001,-1.703,-6.524,-0.45799999999999996,2.98,0.153,2.98,1.5390000000000001,0.153,-6.524,2.98,-1.9240000000000002,-0.384,0.153,-0.821,-0.833,2.98,-0.833,1.5390000000000001,0.153,0.769,-7.162000000000001,2.98,0.153,2.98,1.5390000000000001,-0.5710000000000001,1.5390000000000001,-0.833,-6.524,1.5390000000000001,-0.833,0.078,0.153,1.51,-1.54,-0.927,-7.162000000000001,2.98,0.153,-0.662,-0.602
13,-1.828,-0.9359999999999999,1.169,2.046,-1.828,2.431,1.169,0.612,-0.63,7.462000000000001,-2.8339999999999996,-1.828,-1.828,-1.828,-1.828,0.612,7.462000000000001,0.612,1.389,-2.8339999999999996,-1.295,0.612,-2.48,0.612,1.169,-2.8339999999999996,7.462000000000001,-2.8339999999999996,-1.828,1.4669999999999999,-0.846,-0.846,2.431,-2.8339999999999996,-0.075,-1.828,0.612,-2.8339999999999996,1.4669999999999999,2.431,0.612,-1.828,1.169,2.431,-1.828,1.169,1.169,0.612,2.431,1.4669999999999999,-0.846,-1.828,2.431,-2.8339999999999996,1.169,1.4669999999999999,2.431,1.92,0.612,1.365,-2.207,7.462000000000001,-0.63,7.462000000000001,-1.811,0.612,-0.846,-1.34,0.612,1.92,-0.256,7.462000000000001,-0.846,0.602,1.92,-1.828,-0.895,2.431,-2.752,-0.63,-0.846,0.612,-0.846,-0.846,-0.846,0.156,-1.828,1.169,1.4669999999999999,-0.846,-1.828,-1.828,-0.63,7.462000000000001,-1.811,0.612,-0.846,0.612,-1.828,-0.846,7.462000000000001,0.612,-1.7269999999999999,1.331,-0.846,1.4669999999999999,1.169,0.612,1.169,-1.828,-0.846,2.2640000000000002,1.92,0.612,-0.846,0.612,-1.828,0.369,-1.828,1.169,7.462000000000001,-1.828,1.169,0.922,-0.846,1.365,-2.207,-3.207,1.92,0.612,-0.846,-0.868,2.431
14,0.079,-1.8730000000000002,3.675,2.369,0.079,0.605,3.675,-0.254,-2.904,-6.114,1.554,0.079,0.079,0.079,0.079,-0.254,-6.114,-0.254,-2.176,1.554,2.665,-0.254,0.767,-0.254,3.675,1.554,-6.114,1.554,0.079,-0.33799999999999997,-1.344,-1.344,0.605,1.554,-1.1159999999999999,0.079,-0.254,1.554,-0.33799999999999997,0.605,-0.254,0.079,3.675,0.605,0.079,3.675,3.675,-0.254,0.605,-0.33799999999999997,-1.344,0.079,0.605,1.554,3.675,-0.33799999999999997,0.605,7.251,-0.254,2.4419999999999997,-1.635,-6.114,-2.904,-6.114,-2.483,-0.254,-1.344,-1.32,-0.254,7.251,-0.19699999999999998,-6.114,-1.344,-1.186,7.251,0.079,-0.134,0.605,0.147,-2.904,-1.344,-0.254,-1.344,-1.344,-1.344,-1.068,0.079,3.675,-0.33799999999999997,-1.344,0.079,0.079,-2.904,-6.114,-2.483,-0.254,-1.344,-0.254,0.079,-1.344,-6.114,-0.254,-0.059000000000000004,-0.408,-1.344,-0.33799999999999997,3.675,-0.254,3.675,0.079,-1.344,1.8969999999999998,7.251,-0.254,-1.344,-0.254,0.079,1.8430000000000002,0.079,3.675,-6.114,0.079,3.675,-3.0469999999999997,-1.344,2.4419999999999997,-1.635,-0.008,7.251,-0.254,-1.344,4.265,0.605
15,0.698,-2.323,2.008,0.983,0.698,-1.651,2.008,1.466,-0.882,6.405,-0.142,0.698,0.698,0.698,0.698,1.466,6.405,1.466,-0.867,-0.142,0.9420000000000001,1.466,1.429,1.466,2.008,-0.142,6.405,-0.142,0.698,-0.664,-0.64,-0.64,-1.651,-0.142,0.741,0.698,1.466,-0.142,-0.664,-1.651,1.466,0.698,2.008,-1.651,0.698,2.008,2.008,1.466,-1.651,-0.664,-0.64,0.698,-1.651,-0.142,2.008,-0.664,-1.651,5.394,1.466,2.734,-0.89,6.405,-0.882,6.405,-0.309,1.466,-0.64,-0.523,1.466,5.394,0.026000000000000002,6.405,-0.64,-0.978,5.394,0.698,1.663,-1.651,-0.578,-0.882,-0.64,1.466,-0.64,-0.64,-0.64,1.124,0.698,2.008,-0.664,-0.64,0.698,0.698,-0.882,6.405,-0.309,1.466,-0.64,1.466,0.698,-0.64,6.405,1.466,0.091,-1.791,-0.64,-0.664,2.008,1.466,2.008,0.698,-0.64,1.8980000000000001,5.394,1.466,-0.64,1.466,0.698,1.158,0.698,2.008,6.405,0.698,2.008,-1.232,-0.64,2.734,-0.89,0.5670000000000001,5.394,1.466,-0.64,1.51,-1.651
16,-0.845,-1.432,1.206,0.614,-0.845,1.383,1.206,2.2969999999999997,-1.0759999999999998,2.035,-1.526,-0.845,-0.845,-0.845,-0.845,2.2969999999999997,2.035,2.2969999999999997,1.429,-1.526,-0.6779999999999999,2.2969999999999997,0.076,2.2969999999999997,1.206,-1.526,2.035,-1.526,-0.845,-0.386,-1.057,-1.057,1.383,-1.526,1.087,-0.845,2.2969999999999997,-1.526,-0.386,1.383,2.2969999999999997,-0.845,1.206,1.383,-0.845,1.206,1.206,2.2969999999999997,1.383,-0.386,-1.057,-0.845,1.383,-1.526,1.206,-0.386,1.383,6.519,2.2969999999999997,2.742,-1.903,2.035,-1.0759999999999998,2.035,-1.548,2.2969999999999997,-1.057,0.048,2.2969999999999997,6.519,-0.94,2.035,-1.057,-1.033,6.519,-0.845,1.044,1.383,-1.943,-1.0759999999999998,-1.057,2.2969999999999997,-1.057,-1.057,-1.057,0.7340000000000001,-0.845,1.206,-0.386,-1.057,-0.845,-0.845,-1.0759999999999998,2.035,-1.548,2.2969999999999997,-1.057,2.2969999999999997,-0.845,-1.057,2.035,2.2969999999999997,-1.5490000000000002,0.396,-1.057,-0.386,1.206,2.2969999999999997,1.206,-0.845,-1.057,2.11,6.519,2.2969999999999997,-1.057,2.2969999999999997,-0.845,0.257,-0.845,1.206,2.035,-0.845,1.206,0.846,-1.057,2.742,-1.903,-2.24,6.519,2.2969999999999997,-1.057,-0.048,1.383
