,T_ABI1,T_ABL1,T_AFF3,T_AKAP9,T_AKT1,T_ALDH2,T_ANK1,T_APC,T_AR,T_ARID1A,T_ASXL1,T_ASXL2,T_ATM,T_ATP2B3,T_ATRX,T_BAP1,T_BAX,T_BCL10,T_BCL6,T_BCR,T_BIRC6,T_BLM,T_BRCA1,T_BRD4,T_CACNA1D,T_CARS,T_CCDC6,T_CCNE1,T_CDH1,T_CDH10,T_CDH17,T_CDKN1A,T_CDKN2A,T_CDKN2C,T_CIITA,T_CNTNAP2,T_COL1A1,T_CREB3L2,T_CREBBP,T_CRTC3,T_CSF1R,T_CSMD3,T_CTNND2,T_CUL3,T_CUX1,T_CYP2C8,T_DCC,T_DDX3X,T_DNMT3A,T_ELF3,T_ELF4,T_ELK4,T_EP300,T_EPS15,T_ERBB2,T_ERBB3,T_ERBB4,T_ETV6,T_EZR,T_FAM135B,T_FAM47C,T_FAT1,T_FAT3,T_FAT4,T_FCRL4,T_FEN1,T_FGFR3,T_FHIT,T_FLT4,T_FNBP1,T_FOXP1,T_GLI1,T_GRIN2A,T_HIF1A,T_HOXA13,T_HRAS,T_HSP90AA1,T_IKBKB,T_IL6ST,T_IL7R,T_KAT6B,T_KDM5A,T_KDM6A,T_KEAP1,T_KIAA1549,T_KMT2C,T_KMT2D,T_KRAS,T_KTN1,T_LATS1,T_LCK,T_LCP1,T_LRP1B,T_MALT1,T_MAML2,T_MAP3K1,T_MAPK1,T_MB21D2,T_MDM4,T_MECOM,T_MED12,T_MITF,T_MLH1,T_MTOR,T_MUC16,T_MUTYH,T_NACA,T_NBEA,T_NCOR1,T_NCOR2,T_NF2,T_NFATC2,T_NIN,T_NOTCH2,T_NRAS,T_NRG1,T_NSD1,T_NUP214,T_OMD,T_PALB2,T_PAX7,T_PBRM1,T_PCM1,T_PDE4DIP,T_PIK3CA,T_PLCG1,T_PML,T_PMS2,T_POLE,T_POT1,T_POU5F1,T_PPARG,T_PPP2R1A,T_PRDM16,T_PRDM2,T_PRKCB,T_PTPN11,T_PTPN13,T_PTPN6,T_PTPRT,T_RANBP2,T_RARA,T_RB1,T_RECQL4,T_REL,T_RET,T_RHOA,T_RHOH,T_RNF213,T_ROBO2,T_ROS1,T_RPN1,T_RUNX1,T_RUNX1T1,T_SDHC,T_SEPT5,T_SETD2,T_SETDB1,T_SOX2,T_SPEN,T_SPOP,T_STAG2,T_STIL,T_STRN,T_TET2,T_TFEB,T_TGFBR2,T_THRAP3,T_TNC,T_TNFAIP3,T_TNFRSF17,T_TP53,T_TP63,T_TPR,T_TRIP11,T_TRRAP,T_TSC1,T_TSC2,T_UBR5,T_USP8,T_WIF1,T_WRN,T_ZCCHC8,T_ZFHX3,T_ZNF479
1,-1.28,-0.006,-0.64,0.763,-0.667,2.614,-1.011,0.588,-0.204,0.727,1.354,-1.011,0.6509999999999999,-1.011,0.21899999999999997,-0.532,-0.006,6.93,-0.667,0.588,0.07400000000000001,0.305,0.69,-0.204,-0.204,0.305,-0.667,-1.011,-1.541,6.93,6.93,1.205,-0.006,2.614,-0.667,-0.98,-0.98,0.578,-0.836,1.73,0.305,0.442,6.93,0.305,-0.006,0.305,2.614,6.155,-0.532,-0.532,2.614,1.8659999999999999,0.166,2.614,2.122,-1.011,0.8079999999999999,-0.006,1.8659999999999999,0.8079999999999999,1.178,2.261,6.155,0.602,0.305,6.155,-0.327,-0.006,2.614,-0.204,-0.667,0.8170000000000001,-0.667,-0.204,0.315,1.178,2.614,0.8079999999999999,-1.254,1.178,0.305,2.614,-0.135,-0.006,6.155,0.8079999999999999,-1.374,-1.011,-0.667,-0.204,-0.204,-1.011,0.794,-0.98,-1.168,0.7759999999999999,1.883,6.155,-0.204,0.07400000000000001,0.8079999999999999,2.614,1.8659999999999999,0.588,0.5379999999999999,-1.011,1.661,6.155,-0.006,0.07400000000000001,2.614,0.305,-1.136,6.155,-0.265,-0.98,-1.011,6.155,-1.011,0.305,-0.667,-0.204,2.614,-0.7170000000000001,0.588,1.73,2.614,1.8659999999999999,-0.667,2.614,-0.64,-0.532,6.93,-0.667,-0.532,0.305,-0.006,2.524,-0.204,-1.168,2.614,6.93,2.6860000000000004,1.4969999999999999,1.8659999999999999,0.102,-0.532,-1.541,-0.006,0.727,6.93,-0.154,-0.98,2.614,2.614,-0.006,1.8659999999999999,0.37,0.305,0.905,-0.006,-1.011,-0.204,-0.98,1.883,-0.667,6.155,6.93,-0.667,2.614,-0.204,2.45,6.155,0.20199999999999999,-3.266,0.21899999999999997,-0.532,-1.011,-0.204,1.8659999999999999,1.178,-0.532,-0.987,0.305,-0.532
2,-0.8320000000000001,-0.98,-0.266,-0.001,-0.258,0.27899999999999997,-0.789,-0.7040000000000001,-1.3719999999999999,-0.17,-0.011000000000000001,-0.789,-1.003,-0.789,-0.455,0.253,-0.98,-7.5760000000000005,-0.258,-0.7040000000000001,-0.738,0.35700000000000004,-0.375,-1.3719999999999999,-1.3719999999999999,0.35700000000000004,-0.258,-0.789,-1.052,-7.5760000000000005,-7.5760000000000005,-0.293,-0.98,0.27899999999999997,-0.258,-0.5760000000000001,-0.5760000000000001,-1.527,-1.103,-0.795,0.35700000000000004,-0.9890000000000001,-7.5760000000000005,0.35700000000000004,-0.98,0.35700000000000004,0.27899999999999997,-4.008,0.253,0.253,0.27899999999999997,0.965,-1.926,0.27899999999999997,-0.424,-0.789,0.018000000000000002,-0.98,0.965,0.018000000000000002,-0.763,0.146,-4.008,-0.41,0.35700000000000004,-4.008,-0.478,-0.98,0.27899999999999997,-1.3719999999999999,-0.258,0.275,-0.258,-1.3719999999999999,0.11,-0.763,0.27899999999999997,0.018000000000000002,-0.65,-0.763,0.35700000000000004,0.27899999999999997,-2.26,-0.98,-4.008,0.018000000000000002,-1.092,-0.789,-0.258,-1.3719999999999999,-1.3719999999999999,-0.789,-0.595,-0.5760000000000001,-0.331,-0.909,-0.512,-4.008,-1.3719999999999999,-0.738,0.018000000000000002,0.27899999999999997,0.965,-0.7040000000000001,-1.2229999999999999,-0.789,-0.452,-4.008,-0.98,-0.738,0.27899999999999997,0.35700000000000004,-1.145,-4.008,0.07200000000000001,-0.5760000000000001,-0.789,-4.008,-0.789,0.35700000000000004,-0.258,-1.3719999999999999,0.27899999999999997,-1.084,-0.7040000000000001,-0.795,0.27899999999999997,0.965,-0.258,0.27899999999999997,-1.195,0.253,-7.5760000000000005,-0.258,0.253,0.35700000000000004,-0.98,0.218,-1.3719999999999999,-0.331,0.27899999999999997,-7.5760000000000005,-0.075,-1.065,0.965,-0.17600000000000002,0.253,-1.052,-0.98,-0.17,-7.5760000000000005,-1.739,-0.5760000000000001,0.27899999999999997,0.27899999999999997,-0.98,0.965,-0.7490000000000001,0.35700000000000004,-0.305,-0.98,-0.789,-1.3719999999999999,-0.5760000000000001,-0.512,-0.258,-4.008,-7.5760000000000005,-0.258,0.27899999999999997,-1.3719999999999999,-1.4709999999999999,-4.008,0.19899999999999998,8.205,-0.455,0.253,-0.789,-1.3719999999999999,0.965,-0.763,0.253,-1.534,0.35700000000000004,0.253
3,0.9329999999999999,6.445,0.147,1.696,2.702,-0.10099999999999999,-0.823,2.9730000000000003,-1.056,5.222,3.7689999999999997,-0.823,2.4290000000000003,-0.823,4.363,-2.8360000000000003,6.445,6.957999999999999,2.702,2.9730000000000003,-0.7440000000000001,0.04,2.523,-1.056,-1.056,0.04,2.702,-0.823,-0.52,6.957999999999999,6.957999999999999,-1.2209999999999999,6.445,-0.10099999999999999,2.702,0.14400000000000002,0.14400000000000002,2.968,3.73,-0.848,0.04,-1.922,6.957999999999999,0.04,6.445,0.04,-0.10099999999999999,-6.925,-2.8360000000000003,-2.8360000000000003,-0.10099999999999999,-0.602,3.555,-0.10099999999999999,2.427,-0.823,-1.5390000000000001,6.445,-0.602,-1.5390000000000001,-1.031,-1.202,-6.925,0.597,0.04,-6.925,-0.828,6.445,-0.10099999999999999,-1.056,2.702,-1.093,2.702,-1.056,-0.252,-1.031,-0.10099999999999999,-1.5390000000000001,1.776,-1.031,0.04,-0.10099999999999999,1.67,6.445,-6.925,-1.5390000000000001,2.26,-0.823,2.702,-1.056,-1.056,-0.823,3.0669999999999997,0.14400000000000002,-1.598,-2.4859999999999998,4.229,-6.925,-1.056,-0.7440000000000001,-1.5390000000000001,-0.10099999999999999,-0.602,2.9730000000000003,-1.291,-0.823,-0.695,-6.925,6.445,-0.7440000000000001,-0.10099999999999999,0.04,5.235,-6.925,1.98,0.14400000000000002,-0.823,-6.925,-0.823,0.04,2.702,-1.056,-0.10099999999999999,0.037000000000000005,2.9730000000000003,-0.848,-0.10099999999999999,-0.602,2.702,-0.10099999999999999,1.15,-2.8360000000000003,6.957999999999999,2.702,-2.8360000000000003,0.04,6.445,-1.198,-1.056,-1.598,-0.10099999999999999,6.957999999999999,-1.1,2.546,-0.602,0.8,-2.8360000000000003,-0.52,6.445,5.222,6.957999999999999,3.373,0.14400000000000002,-0.10099999999999999,-0.10099999999999999,6.445,-0.602,1.168,0.04,-3.485,6.445,-0.823,-1.056,0.14400000000000002,4.229,2.702,-6.925,6.957999999999999,2.702,-0.10099999999999999,-1.056,-0.006999999999999999,-6.925,-3.283,-9.199,4.363,-2.8360000000000003,-0.823,-1.056,-0.602,-1.031,-2.8360000000000003,-1.365,0.04,-2.8360000000000003
4,0.602,3.181,-0.16699999999999998,1.013,0.302,-0.775,0.486,0.56,-1.119,1.954,2.079,0.486,1.669,0.486,2.096,1.103,3.181,6.29,0.302,0.56,-0.993,-0.23399999999999999,0.33,-1.119,-1.119,-0.23399999999999999,0.302,0.486,0.354,6.29,6.29,-1.0090000000000001,3.181,-0.775,0.302,-0.024,-0.024,0.841,1.902,-1.3969999999999998,-0.23399999999999999,-2.56,6.29,-0.23399999999999999,3.181,-0.23399999999999999,-0.775,-1.683,1.103,1.103,-0.775,-0.256,1.426,-0.775,-0.006,0.486,-2.3280000000000003,3.181,-0.256,-2.3280000000000003,0.284,0.02,-1.683,-0.6659999999999999,-0.23399999999999999,-1.683,-1.449,3.181,-0.775,-1.119,0.302,-1.867,0.302,-1.119,-0.18,0.284,-0.775,-2.3280000000000003,0.168,0.284,-0.23399999999999999,-0.775,0.449,3.181,-1.683,-2.3280000000000003,2.7969999999999997,0.486,0.302,-1.119,-1.119,0.486,1.058,-0.024,0.664,-1.4909999999999999,1.679,-1.683,-1.119,-0.993,-2.3280000000000003,-0.775,-0.256,0.56,-0.6920000000000001,0.486,-1.3330000000000002,-1.683,3.181,-0.993,-0.775,-0.23399999999999999,1.8940000000000001,-1.683,0.05,-0.024,0.486,-1.683,0.486,-0.23399999999999999,0.302,-1.119,-0.775,-0.336,0.56,-1.3969999999999998,-0.775,-0.256,0.302,-0.775,-0.595,1.103,6.29,0.302,1.103,-0.23399999999999999,3.181,-2.2880000000000003,-1.119,0.664,-0.775,6.29,-1.347,-0.555,-0.256,-1.456,1.103,0.354,3.181,1.954,6.29,1.42,-0.024,-0.775,-0.775,3.181,-0.256,0.43,-0.23399999999999999,-0.5539999999999999,3.181,0.486,-1.119,-0.024,1.679,0.302,-1.683,6.29,0.302,-0.775,-1.119,-0.217,-1.683,-0.862,-0.626,2.096,1.103,0.486,-1.119,-0.256,0.284,1.103,-0.282,-0.23399999999999999,1.103
5,-1.067,-1.294,-1.57,0.18100000000000002,-1.296,2.019,-0.305,2.069,1.9,-1.143,-0.39299999999999996,-0.305,0.157,-0.305,-2.4330000000000003,-1.915,-1.294,-6.622999999999999,-1.296,2.069,-0.052000000000000005,-1.975,0.514,1.9,1.9,-1.975,-1.296,-0.305,-0.545,-6.622999999999999,-6.622999999999999,1.955,-1.294,2.019,-1.296,-0.40299999999999997,-0.40299999999999997,-0.465,-1.151,2.943,-1.975,4.824,-6.622999999999999,-1.975,-1.294,-1.975,2.019,-0.8109999999999999,-1.915,-1.915,2.019,0.75,-0.23800000000000002,2.019,3.096,-0.305,4.43,-1.294,0.75,4.43,0.282,0.758,-0.8109999999999999,0.8320000000000001,-1.975,-0.8109999999999999,2.234,-1.294,2.019,1.9,-1.296,1.565,-1.296,1.9,0.124,0.282,2.019,4.43,-1.1520000000000001,0.282,-1.975,2.019,1.625,-1.294,-0.8109999999999999,4.43,-2.6660000000000004,-0.305,-1.296,1.9,1.9,-0.305,-0.9520000000000001,-0.40299999999999997,-1.5330000000000001,1.465,0.51,-0.8109999999999999,1.9,-0.052000000000000005,4.43,2.019,0.75,2.069,1.972,-0.305,1.198,-0.8109999999999999,-1.294,-0.052000000000000005,2.019,-1.975,-1.787,-0.8109999999999999,-2.435,-0.40299999999999997,-0.305,-0.8109999999999999,-0.305,-1.975,-1.296,1.9,2.019,-0.789,2.069,2.943,2.019,0.75,-1.296,2.019,0.426,-1.915,-6.622999999999999,-1.296,-1.915,-1.975,-1.294,4.938,1.9,-1.5330000000000001,2.019,-6.622999999999999,2.992,2.872,0.75,2.068,-1.915,-0.545,-1.294,-1.143,-6.622999999999999,0.428,-0.40299999999999997,2.019,2.019,-1.294,0.75,-0.7390000000000001,-1.975,1.5430000000000001,-1.294,-0.305,1.9,-0.40299999999999997,0.51,-1.296,-0.8109999999999999,-6.622999999999999,-1.296,2.019,1.9,3.8760000000000003,-0.8109999999999999,1.608,-4.3180000000000005,-2.4330000000000003,-1.915,-0.305,1.9,0.75,0.282,-1.915,0.9079999999999999,-1.975,-1.915
6,-1.755,-1.181,1.158,-1.396,-1.338,3.4360000000000004,-1.0659999999999998,0.091,-0.48,-1.839,-1.163,-1.0659999999999998,0.355,-1.0659999999999998,-2.011,-1.014,-1.181,-7.809,-1.338,0.091,-1.479,-1.531,-0.8690000000000001,-0.48,-0.48,-1.531,-1.338,-1.0659999999999998,1.085,-7.809,-7.809,-0.648,-1.181,3.4360000000000004,-1.338,2.544,2.544,0.141,1.375,2.074,-1.531,0.601,-7.809,-1.531,-1.181,-1.531,3.4360000000000004,-9.033,-1.014,-1.014,3.4360000000000004,-0.402,-1.0170000000000001,3.4360000000000004,2.151,-1.0659999999999998,1.3090000000000002,-1.181,-0.402,1.3090000000000002,1.194,0.5760000000000001,-9.033,-1.39,-1.531,-9.033,3.036,-1.181,3.4360000000000004,-0.48,-1.338,-0.158,-1.338,-0.48,1.876,1.194,3.4360000000000004,1.3090000000000002,1.278,1.194,-1.531,3.4360000000000004,-0.975,-1.181,-9.033,1.3090000000000002,-2.718,-1.0659999999999998,-1.338,-0.48,-0.48,-1.0659999999999998,2.12,2.544,1.4809999999999999,0.9790000000000001,1.54,-9.033,-0.48,-1.479,1.3090000000000002,3.4360000000000004,-0.402,0.091,0.748,-1.0659999999999998,0.784,-9.033,-1.181,-1.479,3.4360000000000004,-1.531,0.485,-9.033,-2.131,2.544,-1.0659999999999998,-9.033,-1.0659999999999998,-1.531,-1.338,-0.48,3.4360000000000004,-0.9079999999999999,0.091,2.074,3.4360000000000004,-0.402,-1.338,3.4360000000000004,-1.337,-1.014,-7.809,-1.338,-1.014,-1.531,-1.181,3.5410000000000004,-0.48,1.4809999999999999,3.4360000000000004,-7.809,1.492,2.322,-0.402,-0.021,-1.014,1.085,-1.181,-1.839,-7.809,-1.222,2.544,3.4360000000000004,3.4360000000000004,-1.181,-0.402,-0.10300000000000001,-1.531,0.9229999999999999,-1.181,-1.0659999999999998,-0.48,2.544,1.54,-1.338,-9.033,-7.809,-1.338,3.4360000000000004,-0.48,1.122,-9.033,0.212,-4.441,-2.011,-1.014,-1.0659999999999998,-0.48,-0.402,1.194,-1.014,-1.209,-1.531,-1.014
7,-2.7889999999999997,0.985,0.486,1.528,-1.456,0.528,-2.15,-0.069,0.24600000000000002,-0.782,0.14,-2.15,-0.767,-2.15,2.0469999999999997,6.075,0.985,6.191,-1.456,-0.069,1.482,1.78,1.04,0.24600000000000002,0.24600000000000002,1.78,-1.456,-2.15,-2.218,6.191,6.191,-0.39899999999999997,0.985,0.528,-1.456,-0.716,-0.716,-1.368,0.004,0.568,1.78,-0.609,6.191,1.78,0.985,1.78,0.528,2.095,6.075,6.075,0.528,-0.792,-1.115,0.528,0.27,-2.15,-1.081,0.985,-0.792,-1.081,-1.778,-1.8969999999999998,2.095,-1.247,1.78,2.095,-1.288,0.985,0.528,0.24600000000000002,-1.456,0.498,-1.456,0.24600000000000002,-1.1059999999999999,-1.778,0.528,-1.081,-1.5230000000000001,-1.778,1.78,0.528,-3.092,0.985,2.095,-1.081,0.986,-2.15,-1.456,0.24600000000000002,0.24600000000000002,-2.15,1.219,-0.716,2.719,0.317,1.113,2.095,0.24600000000000002,1.482,-1.081,0.528,-0.792,-0.069,-1.188,-2.15,1.595,2.095,0.985,1.482,0.528,1.78,-0.812,2.095,0.22899999999999998,-0.716,-2.15,2.095,-2.15,1.78,-1.456,0.24600000000000002,0.528,-2.079,-0.069,0.568,0.528,-0.792,-1.456,0.528,-0.8809999999999999,6.075,6.191,-1.456,6.075,1.78,0.985,-0.402,0.24600000000000002,2.719,0.528,6.191,-0.01,-1.273,-0.792,-1.8780000000000001,6.075,-2.218,0.985,-0.782,6.191,0.903,-0.716,0.528,0.528,0.985,-0.792,-2.4090000000000003,1.78,1.484,0.985,-2.15,0.24600000000000002,-0.716,1.113,-1.456,2.095,6.191,-1.456,0.528,0.24600000000000002,-2.432,2.095,3.161,7.737,2.0469999999999997,6.075,-2.15,0.24600000000000002,-0.792,-1.778,6.075,-1.655,1.78,6.075
8,-2.291,2.87,-0.142,1.824,-0.272,0.7090000000000001,-2.504,1.331,-0.20600000000000002,0.875,1.234,-2.504,0.08800000000000001,-2.504,2.966,3.091,2.87,-8.59,-0.272,1.331,0.6679999999999999,1.122,1.848,-0.20600000000000002,-0.20600000000000002,1.122,-0.272,-2.504,-2.72,-8.59,-8.59,-0.9540000000000001,2.87,0.7090000000000001,-0.272,-0.99,-0.99,-0.87,0.8859999999999999,0.368,1.122,-0.858,-8.59,1.122,2.87,1.122,0.7090000000000001,-9.043,3.091,3.091,0.7090000000000001,-1.094,0.252,0.7090000000000001,1.5819999999999999,-2.504,-0.963,2.87,-1.094,-0.963,-1.864,-2.194,-9.043,-0.981,1.122,-9.043,-1.45,2.87,0.7090000000000001,-0.20600000000000002,-0.272,0.115,-0.272,-0.20600000000000002,-1.534,-1.864,0.7090000000000001,-0.963,-1.012,-1.864,1.122,0.7090000000000001,-1.946,2.87,-9.043,-0.963,1.133,-2.504,-0.272,-0.20600000000000002,-0.20600000000000002,-2.504,1.739,-0.99,1.008,-1.368,2.63,-9.043,-0.20600000000000002,0.6679999999999999,-0.963,0.7090000000000001,-1.094,1.331,-1.604,-2.504,1.013,-9.043,2.87,0.6679999999999999,0.7090000000000001,1.122,0.6459999999999999,-9.043,0.62,-0.99,-2.504,-9.043,-2.504,1.122,-0.272,-0.20600000000000002,0.7090000000000001,-2.64,1.331,0.368,0.7090000000000001,-1.094,-0.272,0.7090000000000001,-0.35100000000000003,3.091,-8.59,-0.272,3.091,1.122,2.87,-0.184,-0.20600000000000002,1.008,0.7090000000000001,-8.59,-0.366,-0.201,-1.094,-0.907,3.091,-2.72,2.87,0.875,-8.59,1.906,-0.99,0.7090000000000001,0.7090000000000001,2.87,-1.094,-1.5630000000000002,1.122,0.1,2.87,-2.504,-0.20600000000000002,-0.99,2.63,-0.272,-9.043,-8.59,-0.272,0.7090000000000001,-0.20600000000000002,-2.003,-9.043,1.4780000000000002,-7.907,2.966,3.091,-2.504,-0.20600000000000002,-1.094,-1.864,3.091,-2.247,1.122,3.091
9,-2.555,0.37799999999999995,0.818,0.276,-1.3459999999999999,0.746,-1.97,-0.39899999999999997,-1.655,-0.504,0.387,-1.97,-0.856,-1.97,1.143,2.31,0.37799999999999995,2.6460000000000004,-1.3459999999999999,-0.39899999999999997,-0.33899999999999997,1.179,0.391,-1.655,-1.655,1.179,-1.3459999999999999,-1.97,-1.422,2.6460000000000004,2.6460000000000004,-1.095,0.37799999999999995,0.746,-1.3459999999999999,0.10099999999999999,0.10099999999999999,-1.62,0.321,-0.653,1.179,-1.909,2.6460000000000004,1.179,0.37799999999999995,1.179,0.746,-9.355,2.31,2.31,0.746,0.15,-2.318,0.746,0.125,-1.97,-0.9259999999999999,0.37799999999999995,0.15,-0.9259999999999999,-1.4269999999999998,-0.93,-9.355,-1.785,1.179,-9.355,-0.49,0.37799999999999995,0.746,-1.655,-1.3459999999999999,0.183,-1.3459999999999999,-1.655,0.179,-1.4269999999999998,0.746,-0.9259999999999999,-0.748,-1.4269999999999998,1.179,0.746,-4.087,0.37799999999999995,-9.355,-0.9259999999999999,-0.711,-1.97,-1.3459999999999999,-1.655,-1.655,-1.97,1.296,0.10099999999999999,1.506,-1.176,0.826,-9.355,-1.655,-0.33899999999999997,-0.9259999999999999,0.746,0.15,-0.39899999999999997,-2.028,-1.97,0.17600000000000002,-9.355,0.37799999999999995,-0.33899999999999997,0.746,1.179,-0.46299999999999997,-9.355,-0.12,0.10099999999999999,-1.97,-9.355,-1.97,1.179,-1.3459999999999999,-1.655,0.746,-2.1180000000000003,-0.39899999999999997,-0.653,0.746,0.15,-1.3459999999999999,0.746,-2.2319999999999998,2.31,2.6460000000000004,-1.3459999999999999,2.31,1.179,0.37799999999999995,-0.13,-1.655,1.506,0.746,2.6460000000000004,-0.461,-1.25,0.15,-1.679,2.31,-1.422,0.37799999999999995,-0.504,2.6460000000000004,-0.925,0.10099999999999999,0.746,0.746,0.37799999999999995,0.15,-2.0580000000000003,1.179,-0.052000000000000005,0.37799999999999995,-1.97,-1.655,0.10099999999999999,0.826,-1.3459999999999999,-9.355,2.6460000000000004,-1.3459999999999999,0.746,-1.655,-2.766,-9.355,0.9790000000000001,-2.702,1.143,2.31,-1.97,-1.655,0.15,-1.4269999999999998,2.31,-2.762,1.179,2.31
10,-2.765,-0.128,-1.093,0.303,-1.534,0.951,-2.065,0.633,1.528,-0.5720000000000001,0.441,-2.065,-1.099,-2.065,2.926,0.5,-0.128,0.861,-1.534,0.633,4.383,4.31,3.15,1.528,1.528,4.31,-1.534,-2.065,-5.437,0.861,0.861,1.666,-0.128,0.951,-1.534,-4.609,-4.609,-1.584,-3.903,1.8330000000000002,4.31,1.867,0.861,4.31,-0.128,4.31,0.951,-9.038,0.5,0.5,0.951,0.73,-0.841,0.951,1.135,-2.065,0.995,-0.128,0.73,0.995,-1.364,-0.45799999999999996,-9.038,0.451,4.31,-9.038,-3.072,-0.128,0.951,1.528,-1.534,3.897,-1.534,1.528,-3.26,-1.364,0.951,0.995,-5.047,-1.364,4.31,0.951,-1.6480000000000001,-0.128,-9.038,0.995,-2.11,-2.065,-1.534,1.528,1.528,-2.065,-0.49,-4.609,-3.429,-0.758,0.601,-9.038,1.528,4.383,0.995,0.951,0.73,0.633,-0.168,-2.065,4.368,-9.038,-0.128,4.383,0.951,4.31,-4.5569999999999995,-9.038,1.817,-4.609,-2.065,-9.038,-2.065,4.31,-1.534,1.528,0.951,-1.922,0.633,1.8330000000000002,0.951,0.73,-1.534,0.951,-0.005,0.5,0.861,-1.534,0.5,4.31,-0.128,1.435,1.528,-3.429,0.951,0.861,2.0269999999999997,-1.6030000000000002,0.73,-0.387,0.5,-5.437,-0.128,-0.5720000000000001,0.861,1.0190000000000001,-4.609,0.951,0.951,-0.128,0.73,-2.154,4.31,0.085,-0.128,-2.065,1.528,-4.609,0.601,-1.534,-9.038,0.861,-1.534,0.951,1.528,-0.03,-9.038,1.099,-0.782,2.926,0.5,-2.065,1.528,0.73,-1.364,0.5,-0.778,4.31,0.5
11,1.18,-0.8909999999999999,0.28300000000000003,-1.374,0.14400000000000002,-1.136,1.284,0.414,-0.405,-1.376,-1.736,1.284,-0.158,1.284,-1.3319999999999999,-1.87,-0.8909999999999999,0.557,0.14400000000000002,0.414,-0.971,-0.9159999999999999,-0.217,-0.405,-0.405,-0.9159999999999999,0.14400000000000002,1.284,1.777,0.557,0.557,-1.369,-0.8909999999999999,-1.136,0.14400000000000002,1.008,1.008,-0.813,0.299,-1.133,-0.9159999999999999,0.77,0.557,-0.9159999999999999,-0.8909999999999999,-0.9159999999999999,-1.136,7.815,-1.87,-1.87,-1.136,-1.459,-0.555,-1.136,-0.35200000000000004,1.284,1.4669999999999999,-0.8909999999999999,-1.459,1.4669999999999999,0.165,-0.9420000000000001,7.815,-1.069,-0.9159999999999999,7.815,1.785,-0.8909999999999999,-1.136,-0.405,0.14400000000000002,0.396,0.14400000000000002,-0.405,-0.048,0.165,-1.136,1.4669999999999999,0.946,0.165,-0.9159999999999999,-1.136,1.109,-0.8909999999999999,7.815,1.4669999999999999,-0.44799999999999995,1.284,0.14400000000000002,-0.405,-0.405,1.284,-0.8290000000000001,1.008,-0.294,-0.5820000000000001,-1.496,7.815,-0.405,-0.971,1.4669999999999999,-1.136,-1.459,0.414,0.114,1.284,-1.5430000000000001,7.815,-0.8909999999999999,-0.971,-1.136,-0.9159999999999999,0.35200000000000004,7.815,-0.564,1.008,1.284,7.815,1.284,-0.9159999999999999,0.14400000000000002,-0.405,-1.136,0.243,0.414,-1.133,-1.136,-1.459,0.14400000000000002,-1.136,-0.191,-1.87,0.557,0.14400000000000002,-1.87,-0.9159999999999999,-0.8909999999999999,0.237,-0.405,-0.294,-1.136,0.557,-1.89,-0.452,-1.459,1.179,-1.87,1.777,-0.8909999999999999,-1.376,0.557,-0.9520000000000001,1.008,-1.136,-1.136,-0.8909999999999999,-1.459,0.22699999999999998,-0.9159999999999999,-0.138,-0.8909999999999999,1.284,-0.405,1.008,-1.496,0.14400000000000002,7.815,0.557,0.14400000000000002,-1.136,-0.405,-0.256,7.815,-0.284,3.9389999999999996,-1.3319999999999999,-1.87,1.284,-0.405,-1.459,0.165,-1.87,0.8320000000000001,-0.9159999999999999,-1.87
12,0.551,0.047,-0.305,1.304,0.752,-0.498,0.098,0.168,0.33,1.4569999999999999,1.1540000000000001,0.098,-0.179,0.098,0.55,-0.051,0.047,-2.705,0.752,0.168,0.759,0.7040000000000001,0.581,0.33,0.33,0.7040000000000001,0.752,0.098,-0.598,-2.705,-2.705,1.367,0.047,-0.498,0.752,-0.877,-0.877,0.95,-0.715,-0.124,0.7040000000000001,0.375,-2.705,0.7040000000000001,0.047,0.7040000000000001,-0.498,-6.426,-0.051,-0.051,-0.498,1.534,-0.7090000000000001,-0.498,-0.168,0.098,0.182,0.047,1.534,0.182,-2.451,-0.635,-6.426,1.64,0.7040000000000001,-6.426,-0.631,0.047,-0.498,0.33,0.752,0.65,0.752,0.33,0.20199999999999999,-2.451,-0.498,0.182,-0.275,-2.451,0.7040000000000001,-0.498,-0.47,0.047,-6.426,0.182,0.465,0.098,0.752,0.33,0.33,0.098,-0.498,-0.877,-0.777,1.062,-0.331,-6.426,0.33,0.759,0.182,-0.498,1.534,0.168,-0.02,0.098,0.33299999999999996,-6.426,0.047,0.759,-0.498,0.7040000000000001,-0.223,-6.426,1.072,-0.877,0.098,-6.426,0.098,0.7040000000000001,0.752,0.33,-0.498,1.126,0.168,-0.124,-0.498,1.534,0.752,-0.498,0.794,-0.051,-2.705,0.752,-0.051,0.7040000000000001,0.047,-0.23199999999999998,0.33,-0.777,-0.498,-2.705,0.843,0.568,1.534,0.685,-0.051,-0.598,0.047,1.4569999999999999,-2.705,0.276,-0.877,-0.498,-0.498,0.047,1.534,-1.204,0.7040000000000001,-1.416,0.047,0.098,0.33,-0.877,-0.331,0.752,-6.426,-2.705,0.752,-0.498,0.33,-0.335,-6.426,0.096,3.0039999999999996,0.55,-0.051,0.098,0.33,1.534,-2.451,-0.051,0.28800000000000003,0.7040000000000001,-0.051
